sequence: L000013, l=97756.064283185
idx  kind          name                    l          dl       spos       upos    uds
001  marker        $start                  0.000       0       0.000      0.000   0.000
002  marker        IP.1                    0.000       0       0.000      0.000   0.000
003  quadrupole    QC1R1.1                 1.200       0       2.200      2.800   0.600
004  quadrupole    QC1R2.1                 1.000       0       3.480      3.980   0.500
005  quadrupole    QC1R3.1                 1.000       0       4.560      5.060   0.500
006  quadrupole    QC2R1.1                 1.250       0       5.860      6.485   0.625
007  quadrupole    QC2R2.1                 1.250       0       7.190      7.815   0.625
008  marker        PQC2RE.1                0.000       0       8.440      8.440   0.000
009  quadrupole    QT1.1                   1.000       0      10.040     10.540   0.500
010  quadrupole    QC3.1                   3.500       0      12.640     14.390   1.750
011  quadrupole    QC4.1                   3.500       0      19.269     21.019   1.750
012  rbend         BC1.1                  40.611       0      23.069     43.374  20.306
013  quadrupole    QC5.1                   3.500       0      63.980     65.730   1.750
014  rbend         BC2.1                   0.773       0      67.780     68.166   0.386
015  quadrupole    QC6.1                   3.500       0      68.853     70.603   1.750
016  rbend         BC3.1                  41.930       0      72.653     93.617  20.965
017  quadrupole    QC7.1                   3.500       0     114.882    116.632   1.750
018  sextupole     SY1R.1                  0.150       0     118.682    118.757   0.075
019  sextupole     SY1R.2                  0.150       0     118.832    118.907   0.075
020  rbend         BC4.1                  31.178       0     119.282    134.871  15.589
021  quadrupole    QY2.1                   3.500       0     150.760    152.510   1.750
022  rbend         BC5.1                  41.077       0     154.560    175.099  20.539
023  quadrupole    QY1.1                   3.500       0     195.937    197.687   1.750
024  rbend         BC6.1                  41.320       0     199.737    220.397  20.660
025  quadrupole    QY2.2                   3.500       0     241.357    243.107   1.750
026  rbend         BC7.1                  33.442       0     245.157    261.878  16.721
027  sextupole     SY2R.1                  0.150       0     278.899    278.974   0.075
028  sextupole     SY2R.2                  0.150       0     279.049    279.124   0.075
029  quadrupole    QA1.1                   2.900       0     279.499    280.949   1.450
030  quadrupole    QA2.1                   2.900       0     291.933    293.383   1.450
031  quadrupole    QA3.1                   2.900       0     305.840    307.290   1.450
032  quadrupole    QA4.1                   2.900       0     323.828    325.278   1.450
033  quadrupole    QA5.1                   2.900       0     337.396    338.846   1.450
034  quadrupole    QA6.1                   2.900       0     351.779    353.229   1.450
035  rbend         BS1.1                  27.975       0     354.979    368.966  13.988
036  quadrupole    QS1.1                   1.800       0     383.254    384.154   0.900
037  rbend         BS2.1                  11.101       0     385.354    390.904   5.550
038  quadrupole    QS2.1                   1.800       0     396.755    397.655   0.900
039  rbend         BS3.1                  11.311       0     398.855    404.510   5.655
040  quadrupole    QS3.1                   1.800       0     410.466    411.366   0.900
041  marker        FG.1                    0.000       0     427.951    427.951   0.000
042  sextupole     SF1.1                   1.400       0     429.751    430.451   0.700
043  quadrupole    QFG2.1                  2.900       0     431.451    432.901   1.450
044  rbend         BG1.1                  23.417       0     434.651    446.359  11.709
045  quadrupole    QDG1.1                  1.800       0     461.568    462.468   0.900
046  rbend         BG1.2                  23.417       0     463.668    475.377  11.709
047  quadrupole    QFG2.2                  2.900       0     490.585    492.035   1.450
048  rbend         BG1.3                  23.417       0     493.785    505.494  11.709
049  quadrupole    QDG1.2                  1.800       0     520.702    521.602   0.900
050  rbend         BG1.4                  23.417       0     522.802    534.511  11.709
051  sextupole     SF1.2                   1.400       0     548.020    548.720   0.700
052  quadrupole    QFG2.3                  2.900       0     549.720    551.170   1.450
053  rbend         BG1.5                  23.417       0     552.920    564.628  11.709
054  sextupole     SD1.1                   1.400       0     578.137    578.837   0.700
055  quadrupole    QDG1.3                  1.800       0     579.837    580.737   0.900
056  rbend         BG1.6                  23.417       0     581.937    593.645  11.709
057  quadrupole    QFG2.4                  2.900       0     608.854    610.304   1.450
058  rbend         BG1.7                  23.417       0     612.054    623.763  11.709
059  quadrupole    QDG1.4                  1.800       0     638.971    639.871   0.900
060  rbend         BG1.8                  23.417       0     641.071    652.780  11.709
061  quadrupole    QFG2.5                  2.900       0     667.988    669.438   1.450
062  rbend         BG1.9                  23.417       0     671.188    682.897  11.709
063  sextupole     SD1.2                   1.400       0     696.406    697.106   0.700
064  quadrupole    QDG1.5                  1.800       0     698.106    699.006   0.900
065  rbend         BG1.10                 23.417       0     700.206    711.914  11.709
066  marker        FG.2                    0.000       0     723.623    723.623   0.000
067  sextupole     SF2.1                   1.400       0     725.423    726.123   0.700
068  quadrupole    QFG2.6                  2.900       0     727.123    728.573   1.450
069  rbend         BG1.11                 23.417       0     730.323    742.031  11.709
070  quadrupole    QDG1.6                  1.800       0     757.240    758.140   0.900
071  rbend         BG1.12                 23.417       0     759.340    771.049  11.709
072  quadrupole    QFG2.7                  2.900       0     786.257    787.707   1.450
073  rbend         BG1.13                 23.417       0     789.457    801.166  11.709
074  quadrupole    QDG1.7                  1.800       0     816.374    817.274   0.900
075  rbend         BG1.14                 23.417       0     818.474    830.183  11.709
076  sextupole     SF2.2                   1.400       0     843.692    844.392   0.700
077  quadrupole    QFG2.8                  2.900       0     845.392    846.842   1.450
078  rbend         BG1.15                 23.417       0     848.592    860.300  11.709
079  sextupole     SD2.1                   1.400       0     873.809    874.509   0.700
080  quadrupole    QDG1.8                  1.800       0     875.509    876.409   0.900
081  rbend         BG1.16                 23.417       0     877.609    889.317  11.709
082  quadrupole    QFG2.9                  2.900       0     904.526    905.976   1.450
083  rbend         BG1.17                 23.417       0     907.726    919.435  11.709
084  quadrupole    QDG1.9                  1.800       0     934.643    935.543   0.900
085  rbend         BG1.18                 23.417       0     936.743    948.452  11.709
086  quadrupole    QFG2.10                 2.900       0     963.661    965.111   1.450
087  rbend         BG1.19                 23.417       0     966.861    978.569  11.709
088  sextupole     SD2.2                   1.400       0     992.078    992.778   0.700
089  quadrupole    QG1.1                   1.800       0     993.778    994.678   0.900
090  rbend         BG2.1                  25.738       0     995.878   1008.747  12.869
091  quadrupole    QG2.1                   2.900       0    1021.915   1023.365   1.450
092  rbend         BG3.1                  20.064       0    1025.115   1035.148  10.032
093  quadrupole    QG3.1                   1.800       0    1045.480   1046.380   0.900
094  rbend         BG4.1                  12.957       0    1047.580   1054.058   6.478
095  quadrupole    QG4.1                   2.900       0    1060.837   1062.287   1.450
096  rbend         BG5.1                  25.790       0    1064.037   1076.931  12.895
097  quadrupole    QG5.1                   1.800       0    1090.126   1091.026   0.900
098  rbend         BG6.1                  14.195       0    1092.226   1099.324   7.097
099  quadrupole    QG6.1                   2.900       0    1106.721   1108.171   1.450
100  rbend         BG7.1                  29.899       0    1109.921   1124.871  14.950
101  quadrupole    QG7.1                   1.800       0    1140.120   1141.020   0.900
102  rbend         BG8.1                  14.343       0    1142.220   1149.391   7.171
103  quadrupole    QG8.1                   2.900       0    1156.863   1158.313   1.450
104  rbend         BG9.1                   8.945       0    1160.063   1164.535   4.473
105  quadrupole    QG9.1                   1.800       0    1169.308   1170.208   0.900
106  rbend         BGA.1                  41.247       0    1171.408   1192.031  20.623
107  marker        FD0A.1                  0.000       0    1212.655   1212.655   0.000
108  quadrupole    QD3.1                   2.900       0    1216.155   1217.605   1.450
109  rbend         B1.1                   24.432       0    1219.355   1231.571  12.216
110  quadrupole    QF4.1                   2.900       0    1244.087   1245.537   1.450
111  rbend         B1.2                   24.432       0    1247.288   1259.504  12.216
112  quadrupole    QD3.2                   2.900       0    1272.020   1273.470   1.450
113  rbend         B1L.1                  22.732       0    1275.220   1286.586  11.366
114  quadrupole    QF4.2                   2.900       0    1299.952   1301.402   1.450
115  rbend         B1S.1                  21.232       0    1303.153   1313.768  10.616
116  sextupole     SD3.1                   1.400       0    1326.185   1326.885   0.700
117  quadrupole    QD3.3                   2.900       0    1327.885   1329.335   1.450
118  rbend         B1S.2                  21.232       0    1331.085   1341.701  10.616
119  quadrupole    QF4.3                   2.900       0    1355.817   1357.267   1.450
120  rbend         B1.3                   24.432       0    1359.017   1371.233  12.216
121  quadrupole    QD3.4                   2.900       0    1383.749   1385.199   1.450
122  rbend         B1.4                   24.432       0    1386.950   1399.166  12.216
123  quadrupole    QF4.4                   2.900       0    1411.682   1413.132   1.450
124  rbend         B1.5                   24.432       0    1414.882   1427.098  12.216
125  quadrupole    QD3.5                   2.900       0    1439.614   1441.064   1.450
126  rbend         B1S.3                  21.232       0    1442.815   1453.431  10.616
127  quadrupole    QF4.5                   2.900       0    1467.547   1468.997   1.450
128  rbend         B1S.4                  21.232       0    1470.747   1481.363  10.616
129  sextupole     SD3.2                   1.400       0    1493.779   1494.479   0.700
130  quadrupole    QD3.6                   2.900       0    1495.479   1496.929   1.450
131  rbend         B1L.2                  22.732       0    1498.680   1510.045  11.366
132  sextupole     SF3.1                   1.400       0    1521.712   1522.412   0.700
133  quadrupole    QF4.6                   2.900       0    1523.412   1524.862   1.450
134  rbend         B1.6                   24.432       0    1526.612   1538.828  12.216
135  quadrupole    QD3.7                   2.900       0    1551.344   1552.794   1.450
136  rbend         B1.7                   24.432       0    1554.544   1566.760  12.216
137  quadrupole    QF4.7                   2.900       0    1579.276   1580.726   1.450
138  rbend         B1S.5                  21.232       0    1582.477   1593.093  10.616
139  quadrupole    QD3.8                   2.900       0    1607.209   1608.659   1.450
140  rbend         B1S.6                  21.232       0    1610.409   1621.025  10.616
141  quadrupole    QF4.8                   2.900       0    1635.141   1636.591   1.450
142  rbend         B1.8                   24.432       0    1638.342   1650.558  12.216
143  quadrupole    QD3.9                   2.900       0    1663.074   1664.524   1.450
144  rbend         B1L.3                  22.732       0    1666.274   1677.640  11.366
145  sextupole     SF3.2                   1.400       0    1689.306   1690.006   0.700
146  quadrupole    QF4.9                   2.900       0    1691.006   1692.456   1.450
147  rbend         B1L.4                  22.732       0    1694.207   1705.572  11.366
148  sextupole     SD4.1                   1.400       0    1717.239   1717.939   0.700
149  quadrupole    QD3.10                  2.900       0    1718.939   1720.389   1.450
150  rbend         B1S.7                  21.232       0    1722.139   1732.755  10.616
151  quadrupole    QF4.10                  2.900       0    1746.871   1748.321   1.450
152  rbend         B1S.8                  21.232       0    1750.071   1760.687  10.616
153  marker        FDIA.1                  0.000       0    1771.303   1771.303   0.000
154  quadrupole    QD3.11                  2.900       0    1774.803   1776.253   1.450
155  rbend         B1.9                   24.432       0    1778.004   1790.220  12.216
156  quadrupole    QF4.11                  2.900       0    1802.736   1804.186   1.450
157  rbend         B1.10                  24.432       0    1805.936   1818.152  12.216
158  quadrupole    QD3.12                  2.900       0    1830.668   1832.118   1.450
159  rbend         B1.11                  24.432       0    1833.869   1846.085  12.216
160  quadrupole    QF4.12                  2.900       0    1858.601   1860.051   1.450
161  rbend         B1S.9                  21.232       0    1861.801   1872.417  10.616
162  sextupole     SD4.2                   1.400       0    1884.833   1885.533   0.700
163  quadrupole    QD3.13                  2.900       0    1886.533   1887.983   1.450
164  rbend         B1S.10                 21.232       0    1889.734   1900.349  10.616
165  sextupole     SF4.1                   1.400       0    1912.766   1913.466   0.700
166  quadrupole    QF4.13                  2.900       0    1914.466   1915.916   1.450
167  rbend         B1.12                  24.432       0    1917.666   1929.882  12.216
168  quadrupole    QD3.14                  2.900       0    1942.398   1943.848   1.450
169  rbend         B1.13                  24.432       0    1945.598   1957.814  12.216
170  quadrupole    QF4.14                  2.900       0    1970.330   1971.780   1.450
171  rbend         B1.14                  24.432       0    1973.531   1985.747  12.216
172  quadrupole    QD3.15                  2.900       0    1998.263   1999.713   1.450
173  rbend         B1S.11                 21.232       0    2001.463   2012.079  10.616
174  quadrupole    QF4.15                  2.900       0    2026.195   2027.645   1.450
175  rbend         B1S.12                 21.232       0    2029.396   2040.012  10.616
176  quadrupole    QD3.16                  2.900       0    2054.128   2055.578   1.450
177  rbend         B1L.5                  22.732       0    2057.328   2068.694  11.366
178  sextupole     SF4.2                   1.400       0    2080.360   2081.060   0.700
179  quadrupole    QF4.16                  2.900       0    2082.060   2083.510   1.450
180  rbend         B1L.6                  22.732       0    2085.261   2096.626  11.366
181  sextupole     SD5.1                   1.400       0    2108.293   2108.993   0.700
182  quadrupole    QD3.17                  2.900       0    2109.993   2111.443   1.450
183  rbend         B1.15                  24.432       0    2113.193   2125.409  12.216
184  quadrupole    QF4.17                  2.900       0    2137.925   2139.375   1.450
185  rbend         B1S.13                 21.232       0    2141.125   2151.741  10.616
186  quadrupole    QD3.18                  2.900       0    2165.858   2167.308   1.450
187  rbend         B1S.14                 21.232       0    2169.058   2179.674  10.616
188  quadrupole    QF4.18                  2.900       0    2193.790   2195.240   1.450
189  rbend         B1.16                  24.432       0    2196.990   2209.206  12.216
190  quadrupole    QD3.19                  2.900       0    2221.722   2223.172   1.450
191  rbend         B1.17                  24.432       0    2224.923   2237.139  12.216
192  quadrupole    QF4.19                  2.900       0    2249.655   2251.105   1.450
193  rbend         B1L.7                  22.732       0    2252.855   2264.221  11.366
194  sextupole     SD5.2                   1.400       0    2275.887   2276.587   0.700
195  quadrupole    QD3.20                  2.900       0    2277.587   2279.037   1.450
196  rbend         B1S.15                 21.232       0    2280.788   2291.403  10.616
197  sextupole     SF5.1                   1.400       0    2303.820   2304.520   0.700
198  quadrupole    QF4.20                  2.900       0    2305.520   2306.970   1.450
199  rbend         B1S.16                 21.232       0    2308.720   2319.336  10.616
200  quadrupole    QD3.21                  2.900       0    2333.452   2334.902   1.450
201  rbend         B1.18                  24.432       0    2336.652   2348.868  12.216
202  quadrupole    QF4.21                  2.900       0    2361.385   2362.835   1.450
203  rbend         B1.19                  24.432       0    2364.585   2376.801  12.216
204  quadrupole    QD3.22                  2.900       0    2389.317   2390.767   1.450
205  rbend         B1.20                  24.432       0    2392.517   2404.733  12.216
206  quadrupole    QF4.22                  2.900       0    2417.249   2418.699   1.450
207  rbend         B1S.17                 21.232       0    2420.450   2431.066  10.616
208  quadrupole    QD3.23                  2.900       0    2445.182   2446.632   1.450
209  rbend         B1S.18                 21.232       0    2448.382   2458.998  10.616
210  sextupole     SF5.2                   1.400       0    2471.414   2472.114   0.700
211  quadrupole    QF4.23                  2.900       0    2473.114   2474.564   1.450
212  rbend         B1L.8                  22.732       0    2476.315   2487.680  11.366
213  sextupole     SD6.1                   1.400       0    2499.347   2500.047   0.700
214  quadrupole    QD3.24                  2.900       0    2501.047   2502.497   1.450
215  rbend         B1.21                  24.432       0    2504.247   2516.463  12.216
216  quadrupole    QF4.24                  2.900       0    2528.979   2530.429   1.450
217  rbend         B1.22                  24.432       0    2532.179   2544.395  12.216
218  quadrupole    QD3.25                  2.900       0    2556.912   2558.362   1.450
219  rbend         B1S.19                 21.232       0    2560.112   2570.728  10.616
220  quadrupole    QF4.25                  2.900       0    2584.844   2586.294   1.450
221  rbend         B1S.20                 21.232       0    2588.044   2598.660  10.616
222  quadrupole    QD3.26                  2.900       0    2612.776   2614.226   1.450
223  rbend         B1.23                  24.432       0    2615.977   2628.193  12.216
224  quadrupole    QF4.26                  2.900       0    2640.709   2642.159   1.450
225  rbend         B1L.9                  22.732       0    2643.909   2655.275  11.366
226  sextupole     SD6.2                   1.400       0    2666.941   2667.641   0.700
227  quadrupole    QD3.27                  2.900       0    2668.641   2670.091   1.450
228  rbend         B1L.10                 22.732       0    2671.842   2683.207  11.366
229  sextupole     SF6.1                   1.400       0    2694.874   2695.574   0.700
230  quadrupole    QF4.27                  2.900       0    2696.574   2698.024   1.450
231  rbend         B1S.21                 21.232       0    2699.774   2710.390  10.616
232  quadrupole    QD3.28                  2.900       0    2724.506   2725.956   1.450
233  rbend         B1S.22                 21.232       0    2727.706   2738.322  10.616
234  quadrupole    QF4.28                  2.900       0    2752.439   2753.889   1.450
235  rbend         B1.24                  24.432       0    2755.639   2767.855  12.216
236  quadrupole    QD3.29                  2.900       0    2780.371   2781.821   1.450
237  rbend         B1.25                  24.432       0    2783.571   2795.787  12.216
238  quadrupole    QF4.29                  2.900       0    2808.303   2809.753   1.450
239  rbend         B1.26                  24.432       0    2811.504   2823.720  12.216
240  quadrupole    QD3.30                  2.900       0    2836.236   2837.686   1.450
241  rbend         B1S.23                 21.232       0    2839.436   2850.052  10.616
242  sextupole     SF6.2                   1.400       0    2862.468   2863.168   0.700
243  quadrupole    QF4.30                  2.900       0    2864.168   2865.618   1.450
244  rbend         B1S.24                 21.232       0    2867.369   2877.984  10.616
245  sextupole     SD7.1                   1.400       0    2890.401   2891.101   0.700
246  quadrupole    QD3.31                  2.900       0    2892.101   2893.551   1.450
247  rbend         B1.27                  24.432       0    2895.301   2907.517  12.216
248  quadrupole    QF4.31                  2.900       0    2920.033   2921.483   1.450
249  rbend         B1.28                  24.432       0    2923.233   2935.449  12.216
250  quadrupole    QD3.32                  2.900       0    2947.966   2949.416   1.450
251  rbend         B1.29                  24.432       0    2951.166   2963.382  12.216
252  quadrupole    QF4.32                  2.900       0    2975.898   2977.348   1.450
