sequence: LHCB1, l=26658.8832
idx  kind          name                    l          dl       spos       upos    uds
001  marker        $start                  0.000       0       0.000      0.000   0.000
002  marker        IP1                     0.000       0       0.000      0.000   0.000
003  solenoid      MBAS2.1R1               3.000       0       0.000      1.500   1.500
004  collimator    TAS.1R1                 1.800       0      19.050     19.950   0.900
005  monitor       BPMSW.1R1.B1            0.000       0      21.564     21.564   0.000
006  monitor       BPMSW.1R1.B1_DOROS      0.000       0      21.564     21.564   0.000
007  monitor       BPMWK.1R1               0.000       0      21.620     21.620   0.000
008  monitor       BPMWF.A1R1.B1           0.000       0      21.724     21.724   0.000
009  quadrupole    MQXA.1R1                6.370       0      22.965     26.150   3.185
010  hkicker       MCBXH.1R1               0.000       0      29.842     29.842   0.000
011  vkicker       MCBXV.1R1               0.000       0      29.842     29.842   0.000
012  monitor       BPMS.2R1.B1             0.000       0      31.529     31.529   0.000
013  quadrupole    MQXB.A2R1               5.500       0      32.050     34.800   2.750
014  hkicker       MCBXH.2R1               0.000       0      38.019     38.019   0.000
015  vkicker       MCBXV.2R1               0.000       0      38.019     38.019   0.000
016  quadrupole    MQXB.B2R1               5.500       0      38.550     41.300   2.750
017  collimator    TASB.3R1                1.200       0      44.742     45.342   0.600
018  quadrupole    MQSX.3R1                0.223       0      46.496     46.608   0.111
019  quadrupole    MQXA.3R1                6.370       0      46.965     50.150   3.185
020  hkicker       MCBXH.3R1               0.000       0      53.814     53.814   0.000
021  vkicker       MCBXV.3R1               0.000       0      53.814     53.814   0.000
022  multipole     MCSX.3R1                0.000       0      53.814     53.814   0.000
023  multipole     MCTX.3R1                0.000       0      53.814     53.814   0.000
024  multipole     MCOSX.3R1               0.000       0      54.297     54.297   0.000
025  multipole     MCOX.3R1                0.000       0      54.297     54.297   0.000
026  multipole     MCSSX.3R1               0.000       0      54.297     54.297   0.000
027  placeholder   DFBXB.3R1               3.090       0      54.882     56.427   1.545
028  monitor       BPMSY.4R1.B1            0.000       0      58.315     58.315   0.000
029  rbend         MBXW.A4R1               3.400       0      59.622     61.322   1.700
030  rbend         MBXW.B4R1               3.400       0      63.888     65.588   1.700
031  rbend         MBXW.C4R1               3.400       0      68.154     69.854   1.700
032  rbend         MBXW.D4R1               3.400       0      72.420     74.120   1.700
033  rbend         MBXW.E4R1               3.400       0      76.686     78.386   1.700
034  rbend         MBXW.F4R1               3.400       0      80.952     82.652   1.700
035  instrument    X1FCR.4R1               0.000       0     141.160    141.160   0.000
036  instrument    BRANA.4R1               0.000       0     141.376    141.376   0.000
037  instrument    X1ZDC.A4R1              0.600       0     141.410    141.710   0.300
038  collimator    TANAR.4R1               0.000       0     142.750    142.750   0.000
039  collimator    TCL.4R1.B1              1.000       0     149.530    150.030   0.500
040  monitor       BPMWB.4R1.B1            0.000       0     151.095    151.095   0.000
041  rbend         MBRC.4R1.B1             9.450       0     153.175    157.900   4.725
042  vkicker       MCBYV.A4R1.B1           0.899       0     163.989    164.439   0.450
043  hkicker       MCBYH.4R1.B1            0.899       0     165.286    165.735   0.450
044  vkicker       MCBYV.B4R1.B1           0.899       0     166.582    167.031   0.450
045  quadrupole    MQY.4R1.B1              3.400       0     167.853    169.553   1.700
046  monitor       BPMYA.4R1.B1            0.000       0     172.227    172.227   0.000
047  collimator    TCL.5R1.B1              1.000       0     183.857    184.357   0.500
048  hkicker       MCBCH.5R1.B1            0.900       0     192.998    193.448   0.450
049  quadrupole    MQML.5R1.B1             4.800       0     194.090    196.490   2.400
050  monitor       BPM.5R1.B1              0.000       0     199.635    199.635   0.000
051  collimator    XRPH.A6R1.B1            0.000       0     205.217    205.217   0.000
052  collimator    XRPH.B6R1.B1            0.000       0     217.302    217.302   0.000
053  monitor       BPMSA.A6R1.B1           0.000       0     217.611    217.611   0.000
054  collimator    TCL.6R1.B1              1.000       0     218.513    219.013   0.500
055  vkicker       MCBCV.6R1.B1            0.904       0     224.896    225.348   0.452
056  quadrupole    MQML.6R1.B1             4.800       0     225.990    228.390   2.400
057  monitor       BPMR.6R1.B1             0.000       0     231.535    231.535   0.000
058  collimator    XRPV.A7R1.B1            0.000       0     237.398    237.398   0.000
059  monitor       BPMSX.7R1.B1            0.000       0     237.750    237.750   0.000
060  collimator    XRPV.B7R1.B1            0.000       0     245.656    245.656   0.000
061  placeholder   DFBAB.7R1.B1            2.675       0     256.109    257.447   1.337
062  monitor       BPM_A.7R1.B1            0.000       0     259.259    259.259   0.000
063  quadrupole    MQM.A7R1.B1             3.400       0     260.004    261.704   1.700
064  quadrupole    MQM.B7R1.B1             3.400       0     263.771    265.471   1.700
065  hkicker       MCBCH.7R1.B1            0.900       0     267.362    267.812   0.450
066  marker        S.DS.R1.B1              0.000       0     268.904    268.904   0.000
067  multipole     MCO.8R1.B1              0.000       0     269.248    269.248   0.000
068  multipole     MCD.8R1.B1              0.000       0     269.250    269.250   0.000
069  sbend         MB.A8R1.B1             14.300       0     269.584    276.734   7.150
070  sextupole     MCS.A8R1.B1             0.110       0     284.103    284.158   0.055
071  sbend         MB.B8R1.B1             14.300       0     285.245    292.395   7.150
072  sextupole     MCS.B8R1.B1             0.110       0     299.764    299.819   0.055
073  monitor       BPM.8R1.B1              0.000       0     300.698    300.698   0.000
074  quadrupole    MQML.8R1.B1             4.800       0     301.443    303.843   2.400
075  vkicker       MCBCV.8R1.B1            0.904       0     306.433    306.885   0.452
076  multipole     MCO.9R1.B1              0.000       0     308.314    308.314   0.000
077  multipole     MCD.9R1.B1              0.000       0     308.315    308.315   0.000
078  sbend         MB.A9R1.B1             14.300       0     308.650    315.800   7.150
079  sextupole     MCS.A9R1.B1             0.110       0     323.169    323.224   0.055
080  sbend         MB.B9R1.B1             14.300       0     324.311    331.461   7.150
081  sextupole     MCS.B9R1.B1             0.110       0     338.830    338.885   0.055
082  monitor       BPM.9R1.B1              0.000       0     339.765    339.765   0.000
083  quadrupole    MQMC.9R1.B1             2.400       0     340.541    341.741   1.200
084  quadrupole    MQM.9R1.B1              3.400       0     343.307    345.007   1.700
085  hkicker       MCBCH.9R1.B1            0.900       0     346.898    347.348   0.450
086  multipole     MCO.10R1.B1             0.000       0     348.780    348.780   0.000
087  multipole     MCD.10R1.B1             0.000       0     348.781    348.781   0.000
088  sbend         MB.A10R1.B1            14.300       0     349.116    356.266   7.150
089  sextupole     MCS.A10R1.B1            0.110       0     363.635    363.690   0.055
090  sbend         MB.B10R1.B1            14.300       0     364.777    371.927   7.150
091  sextupole     MCS.B10R1.B1            0.110       0     379.296    379.351   0.055
092  monitor       BPM.10R1.B1             0.000       0     380.230    380.230   0.000
093  quadrupole    MQML.10R1.B1            4.800       0     380.975    383.375   2.400
094  vkicker       MCBCV.10R1.B1           0.904       0     385.965    386.417   0.452
095  multipole     MCO.11R1.B1             0.000       0     387.846    387.846   0.000
096  multipole     MCD.11R1.B1             0.000       0     387.847    387.847   0.000
097  sbend         MB.A11R1.B1            14.300       0     388.182    395.332   7.150
098  sextupole     MCS.A11R1.B1            0.110       0     402.701    402.756   0.055
099  sbend         MB.B11R1.B1            14.300       0     403.843    410.993   7.150
100  sextupole     MCS.B11R1.B1            0.110       0     418.362    418.417   0.055
101  placeholder   LEHR.11R1.B1           13.717       0     418.823    425.681   6.858
102  monitor       BPM.11R1.B1             0.000       0     433.013    433.013   0.000
103  quadrupole    MQ.11R1.B1              3.100       0     434.010    435.560   1.550
104  quadrupole    MQTLI.11R1.B1           1.300       0     437.279    437.929   0.650
105  sextupole     MS.11R1.B1              0.369       0     438.756    438.941   0.185
106  hkicker       MCBH.11R1.B1            0.647       0     439.210    439.534   0.324
107  marker        S.ARC.12.B1             0.000       0     440.285    440.285   0.000
108  multipole     MCO.A12R1.B1            0.000       0     440.629    440.629   0.000
109  multipole     MCD.A12R1.B1            0.000       0     440.630    440.630   0.000
110  sbend         MB.A12R1.B1            14.300       0     440.965    448.115   7.150
111  sextupole     MCS.A12R1.B1            0.110       0     455.484    455.539   0.055
112  sbend         MB.B12R1.B1            14.300       0     456.625    463.775   7.150
113  sextupole     MCS.B12R1.B1            0.110       0     471.145    471.200   0.055
114  multipole     MCO.B12R1.B1            0.000       0     471.950    471.950   0.000
115  multipole     MCD.B12R1.B1            0.000       0     471.951    471.951   0.000
116  sbend         MB.C12R1.B1            14.300       0     472.286    479.436   7.150
117  sextupole     MCS.C12R1.B1            0.110       0     486.805    486.860   0.055
118  monitor       BPM.12R1.B1             0.000       0     487.739    487.739   0.000
119  quadrupole    MQT.12R1.B1             0.320       0     488.333    488.493   0.160
120  quadrupole    MQ.12R1.B1              3.100       0     488.951    490.501   1.550
121  sextupole     MS.12R1.B1              0.369       0     492.212    492.396   0.185
122  vkicker       MCBV.12R1.B1            0.647       0     492.666    492.989   0.324
123  sbend         MB.A13R1.B1            14.300       0     494.416    501.566   7.150
124  sextupole     MCS.A13R1.B1            0.110       0     508.936    508.991   0.055
125  multipole     MCO.13R1.B1             0.000       0     509.741    509.741   0.000
126  multipole     MCD.13R1.B1             0.000       0     509.742    509.742   0.000
127  sbend         MB.B13R1.B1            14.300       0     510.077    517.227   7.150
128  sextupole     MCS.B13R1.B1            0.110       0     524.596    524.651   0.055
129  sbend         MB.C13R1.B1            14.300       0     525.737    532.887   7.150
130  sextupole     MCS.C13R1.B1            0.110       0     540.257    540.312   0.055
131  monitor       BPM.13R1.B1             0.000       0     541.191    541.191   0.000
132  quadrupole    MQT.13R1.B1             0.320       0     541.785    541.945   0.160
133  quadrupole    MQ.13R1.B1              3.100       0     542.403    543.953   1.550
134  multipole     SQ1L                    0.000       0     545.504    545.504   0.000
135  sextupole     MS.13R1.B1              0.369       0     545.663    545.848   0.184
136  hkicker       MCBH.13R1.B1            0.647       0     546.117    546.441   0.323
137  marker        E.DS.R1.B1              0.000       0     547.188    547.188   0.000
138  multipole     MCO.A14R1.B1            0.000       0     547.532    547.532   0.000
139  multipole     MCD.A14R1.B1            0.000       0     547.533    547.533   0.000
140  sbend         MB.A14R1.B1            14.300       0     547.868    555.018   7.150
141  sextupole     MCS.A14R1.B1            0.110       0     562.387    562.442   0.055
142  sbend         MB.B14R1.B1            14.300       0     563.528    570.678   7.150
143  sextupole     MCS.B14R1.B1            0.110       0     578.048    578.103   0.055
144  multipole     MCO.B14R1.B1            0.000       0     578.853    578.853   0.000
145  multipole     MCD.B14R1.B1            0.000       0     578.854    578.854   0.000
146  sbend         MB.C14R1.B1            14.300       0     579.189    586.339   7.150
147  sextupole     MCS.C14R1.B1            0.110       0     593.708    593.763   0.055
148  monitor       BPM.14R1.B1             0.000       0     594.642    594.642   0.000
149  quadrupole    MQT.14R1.B1             0.320       0     595.236    595.396   0.160
150  quadrupole    MQ.14R1.B1              3.100       0     595.854    597.404   1.550
151  multipole     SQ2L                    0.000       0     598.955    598.955   0.000
152  sextupole     MS.14R1.B1              0.369       0     599.115    599.299   0.184
153  vkicker       MCBV.14R1.B1            0.647       0     599.569    599.892   0.323
154  sbend         MB.A15R1.B1            14.300       0     601.319    608.469   7.150
155  sextupole     MCS.A15R1.B1            0.110       0     615.839    615.894   0.055
156  multipole     MCO.15R1.B1             0.000       0     616.644    616.644   0.000
157  multipole     MCD.15R1.B1             0.000       0     616.645    616.645   0.000
158  sbend         MB.B15R1.B1            14.300       0     616.980    624.130   7.150
159  sextupole     MCS.B15R1.B1            0.110       0     631.499    631.554   0.055
160  sbend         MB.C15R1.B1            14.300       0     632.640    639.790   7.150
161  sextupole     MCS.C15R1.B1            0.110       0     647.160    647.215   0.055
162  monitor       BPM.15R1.B1             0.000       0     648.094    648.094   0.000
163  quadrupole    MQT.15R1.B1             0.320       0     648.688    648.848   0.160
164  quadrupole    MQ.15R1.B1              3.100       0     649.306    650.856   1.550
165  multipole     SQ3L                    0.000       0     652.407    652.407   0.000
166  sextupole     MS.15R1.B1              0.369       0     652.566    652.751   0.184
167  hkicker       MCBH.15R1.B1            0.647       0     653.020    653.344   0.323
168  multipole     MCO.A16R1.B1            0.000       0     654.435    654.435   0.000
169  multipole     MCD.A16R1.B1            0.000       0     654.436    654.436   0.000
170  sbend         MB.A16R1.B1            14.300       0     654.771    661.921   7.150
171  sextupole     MCS.A16R1.B1            0.110       0     669.290    669.345   0.055
172  sbend         MB.B16R1.B1            14.300       0     670.431    677.581   7.150
173  sextupole     MCS.B16R1.B1            0.110       0     684.951    685.006   0.055
174  multipole     MCO.B16R1.B1            0.000       0     685.756    685.756   0.000
175  multipole     MCD.B16R1.B1            0.000       0     685.757    685.757   0.000
176  sbend         MB.C16R1.B1            14.300       0     686.092    693.242   7.150
177  sextupole     MCS.C16R1.B1            0.110       0     700.611    700.666   0.055
178  monitor       BPM.16R1.B1             0.000       0     701.545    701.545   0.000
179  quadrupole    MQT.16R1.B1             0.320       0     702.139    702.299   0.160
180  quadrupole    MQ.16R1.B1              3.100       0     702.757    704.307   1.550
181  multipole     SQ4L                    0.000       0     705.858    705.858   0.000
182  sextupole     MS.16R1.B1              0.369       0     706.018    706.202   0.184
183  vkicker       MCBV.16R1.B1            0.647       0     706.472    706.795   0.323
184  sbend         MB.A17R1.B1            14.300       0     708.222    715.372   7.150
185  sextupole     MCS.A17R1.B1            0.110       0     722.742    722.797   0.055
186  multipole     MCO.17R1.B1             0.000       0     723.547    723.547   0.000
187  multipole     MCD.17R1.B1             0.000       0     723.548    723.548   0.000
188  sbend         MB.B17R1.B1            14.300       0     723.883    731.033   7.150
189  sextupole     MCS.B17R1.B1            0.110       0     738.402    738.457   0.055
190  sbend         MB.C17R1.B1            14.300       0     739.543    746.693   7.150
191  sextupole     MCS.C17R1.B1            0.110       0     754.063    754.118   0.055
192  monitor       BPM.17R1.B1             0.000       0     754.997    754.997   0.000
193  quadrupole    MQT.17R1.B1             0.320       0     755.591    755.751   0.160
194  quadrupole    MQ.17R1.B1              3.100       0     756.209    757.759   1.550
195  sextupole     MS.17R1.B1              0.369       0     759.469    759.654   0.184
196  hkicker       MCBH.17R1.B1            0.647       0     759.923    760.247   0.323
197  multipole     MCO.A18R1.B1            0.000       0     761.338    761.338   0.000
198  multipole     MCD.A18R1.B1            0.000       0     761.339    761.339   0.000
199  sbend         MB.A18R1.B1            14.300       0     761.674    768.824   7.150
200  sextupole     MCS.A18R1.B1            0.110       0     776.193    776.248   0.055
201  sbend         MB.B18R1.B1            14.300       0     777.334    784.484   7.150
202  sextupole     MCS.B18R1.B1            0.110       0     791.854    791.909   0.055
203  multipole     MCO.B18R1.B1            0.000       0     792.659    792.659   0.000
204  multipole     MCD.B18R1.B1            0.000       0     792.660    792.660   0.000
205  sbend         MB.C18R1.B1            14.300       0     792.995    800.145   7.150
206  sextupole     MCS.C18R1.B1            0.110       0     807.514    807.569   0.055
207  monitor       BPM.18R1.B1             0.000       0     808.448    808.448   0.000
208  quadrupole    MQT.18R1.B1             0.320       0     809.042    809.202   0.160
209  quadrupole    MQ.18R1.B1              3.100       0     809.660    811.210   1.550
210  sextupole     MS.18R1.B1              0.369       0     812.921    813.105   0.184
211  vkicker       MCBV.18R1.B1            0.647       0     813.375    813.698   0.323
212  sbend         MB.A19R1.B1            14.300       0     815.125    822.275   7.150
213  sextupole     MCS.A19R1.B1            0.110       0     829.645    829.700   0.055
214  multipole     MCO.19R1.B1             0.000       0     830.450    830.450   0.000
215  multipole     MCD.19R1.B1             0.000       0     830.451    830.451   0.000
216  sbend         MB.B19R1.B1            14.300       0     830.786    837.936   7.150
217  sextupole     MCS.B19R1.B1            0.110       0     845.305    845.360   0.055
218  sbend         MB.C19R1.B1            14.300       0     846.446    853.596   7.150
219  sextupole     MCS.C19R1.B1            0.110       0     860.966    861.021   0.055
220  monitor       BPM.19R1.B1             0.000       0     861.900    861.900   0.000
221  quadrupole    MQT.19R1.B1             0.320       0     862.494    862.654   0.160
222  quadrupole    MQ.19R1.B1              3.100       0     863.112    864.662   1.550
223  sextupole     MS.19R1.B1              0.369       0     866.372    866.557   0.184
224  hkicker       MCBH.19R1.B1            0.647       0     866.826    867.150   0.323
225  multipole     MCO.A20R1.B1            0.000       0     868.241    868.241   0.000
226  multipole     MCD.A20R1.B1            0.000       0     868.242    868.242   0.000
227  sbend         MB.A20R1.B1            14.300       0     868.577    875.727   7.150
228  sextupole     MCS.A20R1.B1            0.110       0     883.096    883.151   0.055
229  sbend         MB.B20R1.B1            14.300       0     884.237    891.387   7.150
230  sextupole     MCS.B20R1.B1            0.110       0     898.757    898.812   0.055
231  multipole     MCO.B20R1.B1            0.000       0     899.562    899.562   0.000
232  multipole     MCD.B20R1.B1            0.000       0     899.563    899.563   0.000
233  sbend         MB.C20R1.B1            14.300       0     899.898    907.048   7.150
234  sextupole     MCS.C20R1.B1            0.110       0     914.417    914.472   0.055
235  monitor       BPM.20R1.B1             0.000       0     915.351    915.351   0.000
