sequence: PS, l=628.3185
idx  kind          name                    l          dl       spos       upos    uds
001  marker        $start                  0.000       0       0.000      0.000   0.000
002  sextupole     PR.XSE01.A              0.200       0       0.320      0.420   0.100
003  sextupole     PR.XSE01.B              0.200       0       0.575      0.675   0.100
004  multipole     PR.MP01.F               0.000       0       3.000      3.000   0.000
005  sbend         PR.BHT01.F              2.198       0       3.000      4.099   1.099
006  multipole     PR.MP01.J               0.000       0       5.198      5.198   0.000
007  hkicker       PR.DHZ01.B              0.000       0       5.198      5.198   0.000
008  sbend         PR.BHT01.D              2.206       0       5.198      6.300   1.103
009  multipole     PR.MP01.D               0.000       0       7.403      7.403   0.000
010  monitor       PR.BPTF02               0.000       0       7.497      7.497   0.000
011  rfcavity      PA.CWB02                0.880       0       7.738      8.178   0.440
012  vkicker       PR.DVT02                0.000       0       8.950      8.950   0.000
013  multipole     PR.MP02.D               0.000       0       9.003      9.003   0.000
014  sbend         PR.BHU02.D              2.206       0       9.003     10.106   1.103
015  multipole     PR.MP02.J               0.000       0      11.209     11.209   0.000
016  hkicker       PR.DHZ03.A              0.000       0      11.209     11.209   0.000
017  sbend         PR.BHU02.F              2.198       0      11.209     12.308   1.099
018  multipole     PR.MP02.F               0.000       0      13.406     13.406   0.000
019  monitor       PR.BPM03                0.000       0      13.500     13.500   0.000
020  monitor       PR.BCW03.A              0.000       0      13.920     13.920   0.000
021  monitor       PR.BCW03.B              0.000       0      14.443     14.443   0.000
022  quadrupole    PR.QSK03                0.120       0      14.833     14.893   0.060
023  multipole     PR.MP03.F               0.000       0      15.006     15.006   0.000
024  sbend         PR.BHT03.F              2.198       0      15.006     16.105   1.099
025  multipole     PR.MP03.J               0.000       0      17.204     17.204   0.000
026  hkicker       PR.DHZ03.B              0.000       0      17.204     17.204   0.000
027  sbend         PR.BHT03.D              2.206       0      17.204     18.307   1.103
028  multipole     PR.MP03.D               0.000       0      19.410     19.410   0.000
029  hkicker       PE.KFA04                0.888       0      19.660     20.104   0.444
030  quadrupole    PR.QSK04                0.120       0      20.836     20.896   0.060
031  vkicker       PR.DVT04                0.000       0      20.956     20.956   0.000
032  multipole     PR.MP04.D               0.000       0      21.010     21.010   0.000
033  sbend         PR.BHR04.D              2.206       0      21.010     22.112   1.103
034  multipole     PR.MP04.J               0.000       0      23.215     23.215   0.000
035  hkicker       PR.DHZ05.A              0.000       0      23.215     23.215   0.000
036  sbend         PR.BHR04.F              2.198       0      23.215     24.314   1.099
037  multipole     PR.MP04.F               0.000       0      25.413     25.413   0.000
038  monitor       PR.BPM05                0.000       0      25.506     25.506   0.000
039  quadrupole    PE.QKE16.05             0.300       0      25.699     25.849   0.150
040  hkicker       PR.DHZOC05              0.300       0      26.192     26.342   0.150
041  quadrupole    PR.QFN05                0.120       0      26.839     26.899   0.060
042  multipole     PR.MP05.F               0.000       0      27.013     27.013   0.000
043  sbend         PR.BHT05.F              2.198       0      27.013     28.112   1.099
044  multipole     PR.MP05.J               0.000       0      29.210     29.210   0.000
045  hkicker       PR.DHZ05.B              0.000       0      29.210     29.210   0.000
