[6R] BF8 =

 X       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   3.7641074312890089E-03    0     0 0  0 0  0 0
     2   1.0225849305213213E+00    1     1 0  0 0  0 0
     3   1.5112945571251357E+00    1     0 1  0 0  0 0
     4  -1.0923044386887433E-02    1     0 0  0 0  0 1
     5   2.5734458116893532E-06    2     2 0  0 0  0 0
     6   2.3063284621596745E-04    2     1 1  0 0  0 0
     7   5.7961337830251232E-03    2     0 2  0 0  0 0
     8  -1.1062229449334345E-04    2     0 0  2 0  0 0
     9   4.7773894027200066E-03    2     0 0  1 1  0 0
    10   5.5413470176140650E-03    2     0 0  0 2  0 0
    11  -6.5540759912996696E-02    2     1 0  0 0  0 1
    12  -4.4019733379537209E+00    2     0 1  0 0  0 1
    13   4.5597731502670991E-02    2     0 0  0 0  0 2

 PX      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   5.0375846037655657E-03    0     0 0  0 0  0 0
     2   3.0225509332641030E-02    1     1 0  0 0  0 0
     3   1.0225846445905085E+00    1     0 1  0 0  0 0
     4  -1.0890326950864561E-04    1     0 0  0 0  0 1
     5   1.5390606758174740E-08    2     2 0  0 0  0 0
     6   1.7156348899355368E-06    2     1 1  0 0  0 0
     7   5.7273195898227089E-05    2     0 2  0 0  0 0
     8  -5.0370795854626674E-05    2     0 0  2 0  0 0
     9  -5.5828162845626358E-07    2     0 0  1 1  0 0
    10   1.8581985649426308E-05    2     0 0  0 2  0 0
    11  -6.5343452125232303E-04    2     1 0  0 0  0 1
    12  -6.5538266369496917E-02    2     0 1  0 0  0 1
    13   4.5413923352767343E-04    2     0 0  0 0  0 2

 Y       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   9.7758410744681157E-01    1     0 0  1 0  0 0
     2   1.4887814916811513E+00    1     0 0  0 1  0 0
     3  -1.6934420551269990E-06    2     1 0  1 0  0 0
     4   4.8867584153558588E-03    2     0 1  1 0  0 0
     5   7.4491224651891832E-05    2     1 0  0 1  0 0
     6   3.7496688080730701E-03    2     0 1  0 1  0 0
     7   6.4562521915646029E-02    2     0 0  1 0  0 1
     8  -4.2717622505918822E+00    2     0 0  0 1  0 1

 PY      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -2.9791920602693447E-02    1     0 0  1 0  0 0
     2   9.7755920204243940E-01    1     0 0  0 1  0 0
     3  -9.8486822304839393E-05    2     1 0  1 0  0 0
     4  -7.3236479602358656E-05    2     0 1  1 0  0 0
     5  -1.5056418561535897E-04    2     1 0  0 1  0 0
     6  -5.1124384794949832E-03    2     0 1  0 1  0 0
     7  -6.0083529035963171E-04    2     0 0  1 0  0 1
     8   6.4706250291732825E-02    2     0 0  0 1  0 1

 T       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1  -1.8232436815424080E-05    0     0 0  0 0  0 0
     2  -2.1879173777267547E-04    1     1 0  0 0  0 0
     3  -1.1005152543750080E-02    1     0 1  0 0  0 0
     4   1.0000000000000000E+00    1     0 0  0 0  1 0
     5   1.1037189992132852E+01    1     0 0  0 0  0 1
     6  -6.5640516580743038E-04    2     2 0  0 0  0 0
     7  -6.6033436269702275E-02    2     1 1  0 0  0 0
     8  -2.2011713524000722E+00    2     0 2  0 0  0 0
     9  -6.6749909257653617E-04    2     0 0  2 0  0 0
    10   6.4008726237003488E-02    2     0 0  1 1  0 0
    11  -2.1361165819180661E+00    2     0 0  0 2  0 0
    12   1.8276373362736409E-03    2     1 0  0 0  0 1
    13   9.2118891925770538E-02    2     0 1  0 0  0 1
    14  -4.7863593434203835E+01    2     0 0  0 0  0 2

 PT      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.0000000000000000E+00    1     0 0  0 0  0 1
