[6R] QF6-BF6 =

 X       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.5360658967011886E-08    1     1 0  0 0  0 0
     2  -1.5570252940585662E-07    1     0 1  0 0  0 0
     3  -3.3914608777579902E-09    1     0 0  0 0  0 1
     4   7.7711949229191182E-10    2     2 0  0 0  0 0
     5  -6.6512520274439324E-09    2     1 1  0 0  0 0
     6  -2.7975700360883399E-09    2     0 2  0 0  0 0
     7   4.6418845546861154E-11    2     0 0  2 0  0 0
     8  -3.4839783428011750E-09    2     0 0  1 1  0 0
     9  -3.0018299269907178E-09    2     0 0  0 2  0 0
    10  -1.7750662892335178E-07    2     1 0  0 0  0 1
    11   6.1791676086721644E-07    2     0 1  0 0  0 1
    12   4.3356664890248364E-08    2     0 0  0 0  0 2

 PX      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.5533887353508247E-08    1     1 0  0 0  0 0
     2   1.5360658633944979E-08    1     0 1  0 0  0 0
     3  -2.1596815967528382E-09    1     0 0  0 0  0 1
     4   8.0922118624851460E-10    2     2 0  0 0  0 0
     5   1.2424703374166231E-09    2     1 1  0 0  0 0
     6   4.4056277515025499E-09    2     0 2  0 0  0 0
     7   1.8535513899603076E-10    2     0 0  2 0  0 0
     8   2.4811861023213855E-10    2     0 0  1 1  0 0
     9  -5.3381223052983984E-12    2     0 0  0 2  0 0
    10  -1.3440943150415819E-07    2     1 0  0 0  0 1
    11  -1.7738309569803601E-07    2     0 1  0 0  0 1
    12   2.1267422704862593E-08    2     0 0  0 0  0 2

 Y       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.5206363751106235E-08    1     0 0  1 0  0 0
     2   1.7037393600478856E-07    1     0 0  0 1  0 0
     3   3.3291743263530980E-10    2     1 0  1 0  0 0
     4  -3.2809235953057403E-09    2     0 1  1 0  0 0
     5   4.6306162983927868E-10    2     1 0  0 1  0 0
     6  -2.7590654023620931E-10    2     0 1  0 1  0 0
     7  -1.8010327799966586E-07    2     0 0  1 0  0 1
     8  -6.8380000824748010E-07    2     0 0  0 1  0 1

 PY      :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   1.5893486988299843E-08    1     0 0  1 0  0 0
     2   1.5206364185387419E-08    1     0 0  0 1  0 0
     3   3.7158221498931419E-10    2     1 0  1 0  0 0
     4   2.7974402178401747E-10    2     0 1  1 0  0 0
     5   3.0650876785666761E-10    2     1 0  0 1  0 0
     6   3.7438517980215025E-09    2     0 1  0 1  0 0
     7  -1.3845658397560173E-07    2     0 0  1 0  0 1
     8  -1.8006375553103471E-07    2     0 0  0 1  0 1

 T       :  R, NV =   6, MO =  2
 *******************************************************
     I   COEFFICIENT             ORDER   EXPONENTS
     1   2.1596760300252038E-09    1     1 0  0 0  0 0
     2   3.3914673899099190E-09    1     0 1  0 0  0 0
     3  -2.8641276701527700E-11    1     0 0  0 0  0 1
     4   6.8846147153306912E-08    2     2 0  0 0  0 0
     5   2.7541250363638525E-08    2     1 1  0 0  0 0
     6   6.5400619167555432E-07    2     0 2  0 0  0 0
     7   6.7554989598085820E-08    2     0 0  2 0  0 0
     8   2.4253182920319638E-08    2     0 0  1 1  0 0
     9  -6.4906993606875203E-07    2     0 0  0 2  0 0
    10  -4.3769637601831501E-08    2     1 0  0 0  0 1
    11  -3.7482685476264432E-08    2     0 1  0 0  0 1
    12   1.1371233768805531E-10    2     0 0  0 0  0 2

 PT      :  R, NV =   6, MO =  2
 *******************************************************

         ALL COMPONENTS ZERO (EPS=1.0E-14)
